mandarin,japanese
嗨。,行け。
你好。,行きなさい。
你用跑的。,こんにちは。
等等！,やっほー。
你好。,こんにちは！
让我来。,走れ。
我赢了。,走って！
不会吧。,誰？
乾杯!,すごい！
你懂了吗？,ワォ！
他跑了。,わぉ！
跳进来。,火事だ！
我迷失了。,火事！
我退出。,撃て！
我沒事。,助けて！
听着。,飛び越えろ！
不可能！,跳べ！
没门！,飛び降りろ！
你确定？,飛び跳ねて！
试试吧。,ジャンプして！
我们来试试。,跳べ！
为什么是我？,飛び跳ねて！
去问汤姆。,ジャンプして！
冷静点。,やめろ！
公平点。,止まれ！
友善点。,待って！
和气点。,続けて。
联系我。,進んで。
联系我们。,進め。
进来。,続けろ。
找到汤姆。,こんにちは。
滾出去！,もしもし。
出去！,こんにちは！
走開！,急げ！
滾！,なるほど。
走開！,なるほどね。
再见！,わかった。
告辞！,わかりました。
等一下！,そうですか。
他来了。,そうなんだ。
他跑。,そっか。
帮我一下。,頑張ってみる。
帮帮我们吧！,やってみる。
坚持。,試してみる。
抱抱汤姆！,やってみよう！
我同意。,トライしてみる。
我生病了。,俺の勝ちー！
我老了。,勝ったぁ！
没关系。,勝ったぞ！
是我。,私の勝ち！
来加入我们吧。,私が勝ち！
留着吧。,なんてこった！
吻我。,なんてことだ！
完美！,しまった！
再见！,あー、しまった！
閉嘴！,うわ、しまった！
不管它。,何てことだ！
拿走吧。,落ち着いて。
醒醒！,くつろいで。
去清洗一下。,リラックスして。
我们知道。,楽にしてください。
欢迎。,撃て！
谁赢了？,はい、チーズ。
为什么不？,にっこり笑って。
你跑。,乾杯！
往后退点。,動くな！
静静的，别动。,起きなさい！
我一无所知。,起きなさい。
把他铐上。,起きろ！
往前开。,さあ、行っといで。
走開！,捕まえた。
滾！,分かった！
趴下！,彼は走った。
滾！,彼が走った。
醒醒吧。,乗れよ。
做得好！,さあ乗って。
干的好！,抱きしめて。
抓住汤姆。,ぎゅーして。
抓住他。,分かってる。
玩得開心。,分かってます。
他来试试。,出発した
你就随了我的意吧。,負けた・・・。
趕快!,私、辞めます。
快点！,やめた。
我忘了。,１９歳です。
我放弃。,大丈夫ですよ。
我來付錢。,私は大丈夫です。
我很忙。,起きてるよ。
我冷。,聞きなさい。
我很好。,聞いて！
我吃飽了。,馬鹿な！
我生病了。,あり得ねぇー。
我病了。,とんでもない！
我个子高。,とんでもございません！
让我一个人呆会儿。,とんでもありません！
走吧。,本当？
我們開始吧！,本当に？
我們走吧!,本気？
当心！,ありがとうございます！
她跑。,お疲れさまでした。
起立。,ありがとう。
他们赢了。,私たちは努力しております。
汤姆去世了。,俺らの勝ちー！
汤姆不干了。,勝ったぞ！
汤姆游泳了。,何でわたしなの？
相信我。,どうして私なの？
努力。,トムに聞きなさい。
试试吧。,トムに聞いて。
谁死了？,トムに聞いてごらん。
鳥類飛行。,すごいぞ！
打电话回家！,落ち着いて。
抓住他。,落ち着いて。
回家吧。,冷静に。
現在就做。,フェアに行こうぜ。
狗会叫。,譲り合いましょう。
别哭。,お行儀よくしなさい。
对不起。,優しくしてあげなさい。
来感受一下这个。,どっか行け。
请跟我来。,連絡をちょうだい。
请跟着我们。,電話してね。
祝你好运。,お電話ください。
抓住那个。,入っておいでよ。
抓住这个。,お入りください。
手举起来。,入ってきなさい！
他是一个 DJ 。,入って。
他很懒。,入れ！
停火。,おいで。
我住这个。,おいおい。
太可怕了。,トムを連れてきて。
我很忙。,出て行け！
我冷。,出ていけ。
我沒事。,出ろ！
我生病了。,出て行け！
我个子高。,出ていけ。
我了解你。,外に出ろ。
我希望如此。,消え失せろ。
我笑了。,出ろ！
我向你保证。,向こうへ行け！
我看見湯姆了。,あっちへ行け！
我要游泳。,離れろ。
我是个男人。,向こうへ行け！
我是對的。,どっか行け。
对不起。,あっちへ行け！
我很抱歉。,消え失せろ。
我還年輕。,帰りなさい。
遠嗎？,ゆっくり、ゆっくり。
下雪了。,慌てない、慌てない。
3点半了。,さようなら！
天很冷。,さようなら。
它是免費的。,頑張れ！
很晚了。,切らないで。
這是真的。,彼は来ました。
让我进去。,やめた。
躺着不动。,彼は走る。
回头看！,助けてくれ。
腾一下地方。,助けて！
當然!,助けてくれ。
當然。,助けて！
当然了。,手伝ってよ。
噢拜托了！,助けてください。
开火！,手伝って。
念这个。,手伝って。
参见上文。,ハーイ、トム。
她哭了。,やぁ、トム。
她试过了。,トムを殴れ。
她在行走。,動かないで！
耐心等着。,待って！
慢一點。,じっとして！
保持冷靜。,お待ちください。
趴着！,トムを抱きしめて。
住手。,トムにハグして。
照顾好自己。,トムをハグして。
照顾好自己。,賛成です。
汤姆睡了。,同感です。
Tom游泳。,そう思います。
湯姆累了。,まったくです。
汤姆挥手了。,やってはみた。
湯姆要走。,やってみた。
向左转。,行くよ。
在这等着。,私が行きます。
做得好！,トムと申します。
干的好！,トムといいます。
爱谁谁。,私はトムです。
很棒！,私は太っている。
蠢货！,俺はデブだ。
你身上发臭了。,私ももう年だ。
请上船！,悲しいです。
我錯了嗎？,私は引っ込み思案です。
鳥兒歌唱。,大丈夫ですよ。
我可以幫忙嗎?,僕だよ！
快点。,私よ！
必须的！,私ですが。
别动！,僕だよ！
不要动。,仲間になって。
把它填滿。,取っておいて。
跟著他走。,僕もだよ。
上帝存在。,私もそうです。
晚安。,私も。
他让步了.,開けてくれ。
他很凶。,開けろ。
他很穷。,バッチリ！
他高。,また会おう！
你好，汤姆。,じゃ、またねっ！
嘿，放松点。,じゃあ、またね。
多可爱啊！,また会おう！
赶快回家。,見せて。
我是个男人。,ちょっと見せて。
我个头矮。,黙ってて。
我会做饭。,やめておけ。
我會游泳。,さようなら。
我不能走。,やめなさい。
我在這裡吃。,やめろ！
我嫉妒她。,いいかげんにして。
我羡慕他。,やめろよ。
我恨你。,これ取っておいて。
我认识汤姆。,教えて。
我認識他。,トムは食べた。
我喜欢茶。,トムは走った。
我喜歡你。,トムは勝った。
我喜欢你。,トムの勝ち。
我愛她。,待って！
我爱您。,目を覚ませよ！
我想念他。,起きなさい！
我想念你。,起きて！
我需要你。,目を覚ませよ！
我想是這樣的。,起きなさい！
我使用这个。,起きて！
我會做的。,起きなさい。
我是個英雄。,手を洗いなさい。
我是谦虚的。,顔を洗いなさい。
我单身。,私たちは知ってる。
我困了。,僕たちは知ってる。
我好胖哦。,俺たちは知ってる。
别理汤姆。,負けた・・・。
那是愛嗎？,こんにちは。
真是太好了。,いらっしゃい。
是晚上了。,ようこそ。
放松点吧。,誰が走ったの？
保持安静！,誰が勝ったの？
让他进来。,どうしてダメなの？
让我去死。,ぜひそうしよう。
让我想一想。,君が走れ。
我们走走吧。,あんたの勝ちだ。
看那里。,おまえの勝ちだ。
禁止评论。,俺、太ってるかな？
无可奉告。,下がっていろ！
没问题！,引っ込んでて！
没关系。,男になれよ。
没问题。,黙っていなさい。
噢，真的嗎?,静かに！
再一次。,少し静かにしていなさい。
她笑了。,静かにしなさい。
往后站！,静かにしてなさい。
保持警惕。,お静かに。
留在这里别动。,じっとしてて。
让开。,トムに電話して。
好好学习。,トムを呼んで。
真疼。,元気出して。
時光飛逝。,元気を出せよ。
时间匆匆走过。,元気出せよ。
汤姆害羞。,元気出しなよ。
汤姆笑了。,元気出して。
汤姆打哈欠了。,元気出しなよ。
向右转。,頭を冷やせ。
我们笑了。,行くんじゃない。
我们失去了它。,行かないで。
這是什麼啊？,トムを探してきて。
有什么新鲜事吗？,トムを見つけて。
我在哪裡？,向こうへ行け！
這是什麼地方?,床に伏せろ！
我們是誰？,どっか行け。
下一个是谁？,出て行け！
木材燃燒。,どっか行け。
我们完成了吗？,冷静に考えて見ろよ！
你是汤姆吗？,どうぞ、お先に！
您生气了吗？,どうぞお話し下さい。
你生气了吗？,どうぞ、お先に！
你傷心嗎？,お疲れ様でした。
友好点。,お疲れさまでした。
停手！,よくやった！
你能看吗？,トムを捕まえろ。
算我一个.,楽しんでね。
按我說的做。,楽しんできなさい。
別走！,彼がやってみるんだ。
不要恐慌！,トムを助けてやって。
不许大叫。,なんて可愛いんでしょう。
別擔心。,かわいい！
别擔心。,どのくらい深い？
认真点。,急ぎなさい。
他獨自一人。,さあ、急いで。
他醉了。,急げ！
他很強壯。,やった。
我們到了！,やってやった。
这里，快抓住。,忘れました。
你們好嗎？,忘れた。
你好嗎？,了解。
多怪啊！,辞めます。
真奇怪。,辞職します。
我來了。,私がそれを使います。
我買磁帶。,あくびをした。
我不能说。,僕のおごりですよ。
我不說謊。,僕が払っとこう。
我吃面包。,私のおごりだ。
我觉得冷。,私が払います。
我感觉很好。,私が払いましょう。
我感到虚弱。,頑張ってみる。
我有时间。,トライします。
我聽你的。,やってみる。
我喜欢鱼。,僕は忙しい。
我喜歡爵士樂。,私は忙しい。
我喜欢他们。,忙しいです。
我住在這。,俺はクールだ。
我需要胶水。,俺はいかしてる。
我需要帮助。,私は公平だ。
我睡过头了。,私は大丈夫です。
我是那樣說的。,私は元気です。
我聞到瓦斯味。,私は暇だ。
我信任他。,暇ですよ。
我信任你。,私は自由の身だ。
我想要更多。,手は空いていますよ。
我搞错了。,時間はあります。
我会听从指示。,もう満腹です。
我會等。,お腹がいっぱいです。
我在這裡工作。,道に迷ってしまった。
我會參加。,私は貧乏です。
我會進去。,病気です。
我也是17岁。,私は背が高い。
我是個不成器的人。,大丈夫ですよ。
我在家。,私は大丈夫です。
我很好奇。,私は元気です。
我结婚了。,痛い。
我已婚。,トムだ。
我在读书。,それは新しいです。
我是認真的。,妙だな。
我渴了。,立ち入りを禁ず。
汤姆还好吧？,放っておけ。
这是你的吗？,放っておきなさいよ。
这不可能！,やめておけ。
不可能！,行くよ。
這是我份內的事。,さあ、行くぞ。
只要說不。,危ない！
继续努力。,私と結婚して。
讓我知道。,はっきり言いなさい。
讓我們開始吧。,立ちなさい。
走吧。,起立！
讓我們開始吧。,立ちなさい。
我们开始吧。,起立！
人生是有趣的。,トムに教えて。
四处看看。,トムに伝えて。
午餐送到了。,すごいぞ！
非常感谢！,素晴らしい！
金钱万能。,彼らは勝った。
好时机。,トムが来た。
没有人来了。,トムは死んだ。
好。我同意。,トムは落ちた。
请来吧。,トムは知った。
请唱歌。,トムはさった。
放开他。,トムは嘘をついた。
她打了他。,トムは嘘をつく。
一边站着。,トムが負けた。
进来。,トムは払った。
這就是生活。,トムはやめた。
人生就是如此。,トムは泳いだ。
这很软。,トムは涙を流した。
這是真的。,トムは泣きました。
他们拥抱。,トムは泣いた。
他们亲吻了。,遅すぎる。
這是冰塊。,信じてくれよ。
汤姆脸红了。,信用してください。
湯姆皺著眉頭。,精一杯やってみなさい。
汤姆变胖了。,これ使って。
湯姆看見你了。,トムに警告します。
湯姆會等。,トムに警告する。
湯姆錯了。,トムに警告してください。
转过来。,トムに警告しなさい。
等等我。,意見が一致している。
我错了吗？,何のために？
我們是男孩。,何に使うの？
我們遲到了。,誰が来た？
我們都贏了。,誰が来ましたか？
我们可以休息。,誰が死んだの？
我們認識他。,誰がやめるの？
我们爱汤姆。,お先にどうぞ。
我们想要汤姆。,鳥は飛ぶ。
我們要一個。,家に電話して！
太可惜了！,落ち着いて。
多遗憾啊！,落ちついて。
有什么新鲜事吗？,落ち着けよ！
那是什么？,落ち着け！
這是什麼啊？,落ち着いて！
那是什么？,落ち着けよ。
這是什麼?,落ち着いて。
你是誰？,落ちつけよ。
誰畫的？,落ちつきな。
下一个是谁？,落ちついて。
那是谁？,頭を冷やせよ。
这是谁的？,頭を冷やせ。
木头会漂浮。,落ち着け！
干活慢点。,落ち着いて！
你在这里。,彼を捕まえて。
你有病！,彼を捕まえろ。
有什么新鲜事吗？,落ち着いて。
你忙嗎？,戻っておいで。
您在忙吗？,ちょっと来て。
您迷路了吗？,こちらに来なさい。
你迷路了吗？,こっちへ来なさい!
你确定吗？,ここへ来なさい！
现实点！,こっちに来て。
带他进来。,こっちに来いよ。
现在给汤姆打电话。,こっちへおいで。
我们能做到吗？,こっちおいで。
你能來嗎？,家に来て。
你能閱讀嗎？,家に来いよ。
你會游泳嗎?,帰ってきなさい。
你打過電話了嗎？,帰ってこい。
你吸烟吗?,家に戻ってきなさい。
您吸烟吗？,私の家に来て下さい。
盡力而為。,家においでよ。
别伤心。,遊びに来いよ！
不要害羞。,家に来てよ！
不用麻烦了。,すぐ来て。
别来烦我。,落ち着いて。
安全地駕駛。,頭を冷やせ。
开车慢点。,勝った？
鬼魂是存在的。,犬が吠える。
还回去,聞かないでくれ。
晚上好。,泣かないで。
晚上好！,死なないで。
早上好！,嘘をつくな。
他生气了。,失礼しました。
他有辆车。,あのー、失礼ですが。
他喜歡茶。,すみません。
他愛她。,もう一度お願いします。
他很勇敢。,すごいぞ！
他现在出去了。,お見事！
真烦人。,素晴らしい！
你敢！,私についてきて。
真糟糕！,ついてきて。
我欣赏你。,忘れて。
我几乎赢了。,さあ行った、行った。
我在家。,もう寝なさい。
我很好奇。,元気でね。
我结婚了。,頑張れよ。
我在祈禱。,おやすみなさい。
我吃了魚子醬。,触るな！
我給湯姆打了電話。,彼は年を取っている。
我走不了。,彼はＤＪです。
我无所谓。,彼は尻が重い。
我一无所知。,ああ恐い！
我有一辆车。,景気はどうですか？
我有一条狗。,トムの機嫌をとれ。
我有一張地圖。,忙しいです。
我喜欢豆子。,私は落ち着いています。
我喜欢这些。,お腹がいっぱいです。
我爱音乐。,お腹いっぱいだ。
我想你。,確かだよ。
我看到一本書。,そのことを確信している。
我明白了。,私は背が高い。
我想要一隻狗。,私は走ることができる。
我要告你。,私はスキーの仕方を知っています。
我洗耳恭聽。,私は気を失いました。
我在流血。,私の負けだ。
我现在有空了。,降参します。
我是清白的。,お手上げだ。
我是新來的。,私は怒ったんだ。
我没在忙。,楽しかった。
我不确定。,持っています。
我怀孕了。,トムを叩いた。
我好高興。,そうだといいけど。
我好累。,私もそう願います。
我饿死了！,私は笑ってしまった。
我餓死了！,本気だよ。
我是最好的。,本気で言ってるんです。
我激動不已。,私は彼に会った。
我決定了。,行かなくちゃ。
我一无所知。,約束するよ。
那是愛嗎？,僕はリラックスした。
真的？,ダメだって言ったでしょ。
太神奇了。,違うってば。
它是明顯的。,そう言っておいたはずだ。
下雨了。,私は彼に会った。
在下雨。,彼を見た。
正在下雪。,トムが見える。
太难了。,これが欲しい。
它太大了。,私は怒り狂っていたんだ。
繼續看！,行くよ。
继续看。,私が行きます。
繼續工作！,私は同意するだろう。
讓我想一想。,お手伝いしますよ。
我们现在去吧。,私は手伝うよ。
人生會繼續。,手伝うよ。
瑪麗進來了。,僕、男だよ。
瑪麗很高。,私は警官だ。
我现在能去了吗？,一人だ。
轻轻地移动。,私は一人だ。
我的眼睛痛。,起きてるよ。
沒有人知道。,退屈しちゃったよ。
没人问过。,私は勇敢だ。
打開箱子。,文無しなんだ。
请抓紧时间。,金欠なんだ。
請你離開。,私は潔白だ。
一会儿见！,私は清潔だ。
到時候見。,くらくらする。
你真丢脸！,酔った。
你真丢脸！,酔った。
她很安静。,もう死にそう。
她心情不好。,早かった。
她可以來。,私が一番。
她也許來。,私は几帳面なんだ。
有人来了。,私は細かいんだ。
你说话小点声。,私は幸福です。
和我们留在一起吧！,私は幸せだ。
别再傻看着。,私は幸せです。
别再念了。,私はついている。
别再盯着了。,準備ができました。
不要说话了。,俺って、頭いい！
别再埋怨了。,私って冴えてる！
别再喊叫了！,私は酔っていない。
祝你好梦。,悪かった。
放輕鬆。,どうも失礼。
別緊張。,御免なさい。
带我回家。,すみません。
告訴我們多一點。,疲れているんだ。
那是我的。,疲れました。
那是瘋狂的。,疲れたよ。
那真是太好了。,疲れたなあ。
对！,私は疲れた。
他們拒絕了。,僕は若い。
它们是假的。,彼はトムですか？
这是我的。,そこって遠いですか？
這是真的。,超臭いよ。
汤姆跟着。,動いた！
湯姆是干净的。,うまく行った！
湯姆高興。,2時半です。
Tom認識我。,３時半です。
汤姆坐下了。,７時４５分です。
汤姆告诉了他。,９時１５分です。
汤姆饱了。,寒い。
汤姆，快起来！,寒っ！
再試一次。,カッコいい！
難以置信!,楽勝だよ。
难以置信！,無料です。
投票給湯姆。,それは無料です。
走著瞧,もう遅いわよ。
我們很快樂。,それ、私の。
我們能開始。,それ、私のです。
我們需要更多。,大丈夫、大丈夫。
我们成功了。,それが仕事です。
我們投降。,飛び降りろ！
我们已是成年人了。,離れてて。
我们在藏着。,下がってて。
欢迎回来。,あったかくしてなさい。
愛是什麼？,私に行かせてください。
那是什么？,中に入れてよ。
那是什么啊？,中に入れて。
這是什麼啊？,私も参加させてください。
这是谁建的？,私も入れてください。
谁来了这里？,中に入れてください。
多少年过去了。,やってみようよ。
你喝醉了！,よく聞きなさい。
还有别的吗？,後ろを見ろ。
您生气了吗？,食べてもいいですか？
你生气了吗？,もちろんだよ！
你快樂嗎？,もちろん！
您准备好了吗？,もちろん。
你们准备好了吗？,もちろんだよ！
你准备好了吗？,もちろんさ。
你累了嗎?,もちろん！
帶鑰匙來。,もちろん。
叫保安来！,撃て！
你会溜冰吗？,もう一度お願いします。
請結帳。,静かに！
不要放棄!,静かにしなさい。
画一个圈。,静かに！
鮮花盛開。,静かにしなさい。
他不會游泳。,これを読みなさい。
这是一个小偷。,これを読んで。
他在家裡。,「アー」といってください。
他是我的菜!,前述参照のこと。
他不是傻子。,本気？
他没疯。,彼女は泣いた。
他现在出去了。,彼女は試した。
他欺騙了我們。,彼女はやってみた。
他賣車子。,ここでサインして。
他槍擊了我。,そこにお座り。
他努力地嘗試。,近づくな！
他想要更多。,どいてろ。
他不在家。,落ち着いて。
他在讀書。,落ちついて。
你怎麼樣？,静かにしてなさい。
那你呢?,下がって。
你們呢？,やめなさい。
您呢？,やめろ！
多美啊！,やめなさい。
我离婚了。,やめろ！
我很难过。,用心しなさい。
我同意它。,気を付けてね。
我相信你。,お気をつけて。
我信过你。,気をつけて！
我看得见汤姆。,用心しなさい。
我無法做到這一點。,気を付けてね。
我做不到。,お体を大切に。
我不能走。,お気をつけて。
我鄙视你。,気をつけて！
我做得好到不能再好了。,私のをどうぞ。
我确实看见他了。,これ使って。
我没通过。,これにしなよ。
我餵過狗了。,ありがとうございます！
我觉得很孤独。,お疲れさまでした。
我感觉不舒服。,ありがとう。
我是免費得到的。,それでいいよ。
我有一个家。,図星です。
我有一只蛋。,そういうこと。
我必须赢。,彼らは去った。
我喜歡運動。,彼らは嘘をついた。
我喜歡甜食。,彼らは負けた。
我喜歡吃。,彼らは泳いだ。
我喜欢跑步。,時間終了。
我愛咖啡。,トムは料理する。
我愛電影。,トムは涙を流した。
我愛大自然。,トムは泣いていた。
我喜歡運動。,トムは飲んだ。
我想念波士頓。,トムは運転した。
我現在必須走了。,トムは編み物をする。
他需要一件外套。,トムは知っている。
我需要些建议。,トムは動いた。
我需要尝试。,トムは引っ越した。
我尊敬湯姆。,トムは寝ていた。
我應該服從。,トムは眠っていた。
我想我可以。,トムは話した。
我用Twitter。,トムは立った。
我想哭。,トムは挑戦した。
我想死,トムはやってみた。
我刚才在家。,トムは挑戦する。
我很冷。,トムは手を振った。
我要買這個。,トムは手をふった。
我会打电话给你。,もう１度やってみなさい。
我會在這裡吃飯。,もう一度やってみて。
我会去接他的。,もう一回やってみて。
我是个学生。,左に曲がって。
我是個老師。,ここで待って。
我累死了。,危ない！
困死了。,気をつけて！
我在節食。,成功だ！
我这就上路。,やった。
我真蠢。,忘れた。
我很忙。,僕らは話した。
我有时间。,僕らは待った。
我有酒。,私たちは男です。
严重吗？,勝った！
下雨了。,お見事！
在下雨。,よくやった！
看起来不错。,上出来！
可能会下雨。,お見事！
可能要下雨了。,よくやった！
它是個秘密。,変わりない？
公事公辦。,何が起こったんだ？
天氣好冷。,知るもんか。
它有改善了。,誰？
我請客。,どなた？
不是我的。,どなたさまでしょうか。
它太長了。,誰にも分からないよ。
它太大聲。,誰が行くの？
它很大。,トムって誰？
确保汤姆安全。,彼女は誰ですか。
保持安静,すごいぞ！
讓我看看。,素晴らしい！
鎖大門。,トムに手紙を書きなよ。
我可以進來嗎?,ご乗車願います！
在那裡見我。,何言っているか分かる？
我的脚痛。,私の言ってること、わかります？
我头痛。,俺、クビですか？
我头痛。,私、正しい？
我的钢笔是新的。,俺は間違っているのか。
决不放弃。,大丈夫ですか？
量力而行。,大丈夫？
戒掉赌博吧。,いる?
现在读这个。,気をつけて！
拯救你自己。,用心しなさい。
再见！,気を付けてね。
再见。,気をつけて！
和我握手。,時間に遅れないで。
我们该步行吗？,辛抱しなさい。
她感到闷闷不乐的。,ふざけないで。
她恨他。,真面目におやり。
她愛湯姆。,鳥は歌います。
她在节食中。,鳥が囀る。
她在节食。,鳥は鳴く。
她是我的菜。,乾杯！
给我看下它吧。,私も行ってもいい？
不要把门开着。,手伝おうか。
关门。,手伝おうか？
坐我旁边。,これ運んで。
講清楚。,一つ選んで。
搅一下汤。,また来てね。
别再插手。,さあ、一緒に来いよ。
停止射击。,いっしょに来なさい。
改邪归正。,私達と一緒に来なさい。
事情难免会发生。,入っておいでよ。
重新告訴我。,さあ、入って入って。
还是要说谢谢的。,入っておいでよ。
那是一本書。,早く来い。
铃响了。,早く来なさい。
他們有帶武器。,早くいらっしゃい。
这是假发。,早くおいで。
时间就是金钱。,やめなさい。
今天很有趣。,やめろ！
湯姆回來了。,いい加減にしろよ。
汤姆没走。,いいかげんにして。
汤姆是个乡巴佬。,混ぜて。
湯姆缺席。,もちろんだよ！
汤姆是个无聊的人。,もちろん！
汤姆非常性感。,トムは行った？
湯姆不老。,勝った？
湯姆認識他。,さあどうぞお入りください。
汤姆爱你。,入って。
汤姆睡过头了。,スキーは滑る？
汤姆跑得快。,来ないで。
湯姆被解僱了。,見ないで。
請稍等。,動かないで！
我们必须走了。,じっとして！
我们保持了沉默。,動くな！
我們喜歡音樂。,動かないで！
我們想你。,動かないで。
我們需要錢。,押すなよ。
我们必须走了。,話しかけるな。
我们明白。,黙っていなさい。
我們想要糖。,黙っていなさい。
我们感到厌烦了。,待つな。
我們會很忙。,ゆっくり食べて。
我們會去做。,満タンにしてください。
我们是特别的。,仕事を見つけろ。
我们很特别。,火は燃える。
我们很担心。,トムに従え。
我們已經到了。,彼の事は忘れなさい。
您当时在忙吗？,許して。
