mandarin,japanese
把书给我。,トムに振られちゃった。
直接回家。,トムは聞く。
上楼。,トムは気が付いた。
你想走的时候就走吧。,トムは前払いした。
他触犯了法律。,トムは断った。
他能讀得很好。,トムはリラックスした。
他着凉了。,トムは引退した。
他感冒了。,トムはやあと言った。
他最近去世了。,トムは大声で叫んだ。
他有長頭髮。,トムはくしゃみをした。
他聽到了叫聲。,トムはやめた。
他是一个高大的男孩。,トムは教える。
他是義大利人。,トムは死にかけている。
他有麻烦。,トムは幸せだ。
他不是傻子。,トムは嘘をついている。
他还在这儿。,トムのほうが年上です。
他非常生气。,トムの言うとおりだ。
他很勇敢。,トムは頭がいい。
他不在家。,トムは頭が良い。
他刚回到家。,あれ着てみて。
他喜歡釣魚。,あれを試着してごらん。
他喜欢打猎。,これ着てみて。
他喜欢橙子。,これを試着してごらん。
他酷爱钓鱼。,振り向いて。
他一定很愛你。,それ消して。
他畫了一隻狗。,トムを起こしてきて。
他打了网球。,私たちは男です。
他關上了門。,僕らはこれをやった。
他對我們說了一個謊。,私たちは幸福です。
他戴眼鏡。,残念だ！
他破产了。,かわいそうに！
他写阿拉伯文。,残念！
他在她的旁邊。,何ですか。
他刚来这镇上。,それは何ですか。
他是你的朋友。,あれは何ですか。
这是账单。,それ何？
你的袋子在這裡。,何ですか。
你好嗎，湯姆？,これ何？
湯姆怎麼知道？,トムはどこ？
我怎样报名参加呢？,次は誰。
你太太怎么样？,そこにいるのは誰だ。
這有多長？,それ、誰の？
這是多少？,どうしてでしょう。
你多高？,木が浮く。
你多高?,はい知っています。
食物怎麼樣？,君が行くのだ。
你們好嗎？,馬鹿だな、おまえ！
我同意他。,馬鹿だな、おまえら！
我差點被淹死。,お前ってひでえ野郎だ。
我總是在外面吃飯。,年相応にふるまえ。
我有點醉了。,あたりは静かだ。
我在吃米饭。,私、正しい？
我不是巫婆。,誰かケガした？
我不好奇。,誰か怪我した？
我是你爸爸。,何かあった？
我相信你。,暇ですか？
我打賭湯姆忘了。,いる?
我買了一只手錶。,君は家にいますか。
我聽不到你的聲音。,道に迷ったんですか。
遇不到你。,大丈夫ですか？
我搆不到它。,本当？
我記不得了。,本気？
我想不起來。,元気？
我不能忍受。,冷徹であれ！
我收集郵票。,牛肉にしてください。
我能看見。,ビーフをお願いします。
我無法入睡。,卵を一つ茹でてよ。
我睡不著。,来られますか。
我没有喜欢过。,君は泳げますか。
我不是这个意思。,泳げますか。
我没见到他。,あなたは泳ぐ事が出来ますか。
我真的原谅汤姆。,歩ける？
我没有疑问。,見に来て。
我不認識她。,いつでも来て。
我不喜歡她。,すぐに来て下さい。
我不喜欢喝茶。,助けに来てください。
我不喜欢你。,早く来い。
我不記得了。,早く来なさい。
我不想要你。,早く来なさい。
我覺得我病得很厲害。,早くおいで。
我过了难挨的一天。,私といっしょに来なさい。
我讨厌化学。,私と来て。
我有条大狗。,私について来て。
我有辆新车。,さあ、一緒に来いよ。
我問過他。,いっしょに来なさい。
我没有借口。,私達と一緒に来なさい。
我必须拒绝。,いいかげんにして。
我希望湯姆輸。,トムから電話があった？
我知道它有困難。,おかしくない？
我知道真相。,変じゃない？
我喜歡巧克力。,月曜日にしなさい。
我喜歡流行音樂。,月曜日にして。
我喜歡紅色的玫瑰。,お酒は飲みますか。
我喜歡旅行。,お酒は飲まれますか？
我喜歡旅行。,あなたは酒を飲みますか？
我喜欢你们的城市。,煙草を吸いますか。
我喜欢你的房间。,たばこは吸いますか。
我住在這附近。,俺に聞くなよ。
我爱这首歌。,怒るなよ。
我犯了一個錯。,怒らないで。
我讓她生氣。,悲しまないで下さい。
我自己做的。,人をからかわないで。
我非常想你。,うつむかないで。
我需要更多时间。,気をつけて運転してください。
我在一個樂團裡演奏。,安全運転してください。
我仍然爱着她。,安全運転してくださいね。
我依旧爱着他。,安全運転してね。
我試著微笑。,安全運転しなさい。
我也要牛肉。,安全運転でお願いします。
我要多很多。,ゆっくり運転しなさい。
我要你去。,幽霊は存在する。
我要你的愛。,それ取って。
我沒有在吼。,時間をください。
我写了一封信。,こんばんは。
我不会做任何事。,良かったですね。
我會在這裡把它吃了。,まあ一杯飲んで。
我會游泳。,彼は居眠りをした。
我今晚有空。,彼は腹をたてた。
我只是隨便看看。,彼は腹を立てた。
我不是乞丐。,彼は怒った。
我不是醫生。,彼は車を持っている。
我現在不忙。,彼は犬を飼っている。
我没那么勇敢。,彼は彼女を手伝います。
我不是老闆。,彼は詩人だ。
我站在你这边。,彼は眠っている。
我以你為榮。,彼は外出しています。
我累死了。,彼はそれを蹴飛ばした。
我在家裡待著。,彼は家をでた。
我还很困。,彼は面目を失った。
我很渴。,彼は彼女に恋している。
我弄丟了我的筆。,彼は彼女が好きだ。
如果不是现在，那是什么时候？,彼は速く走る。
她是正确的吗？,彼は走るのが速い。
那是你的車嗎?,彼は病気らしい。
門開著嗎？,彼は病気のようだ。
工作困難嗎？,彼は成功した。
這是你的車嗎?,彼は一人ぼっちだった。
這是你的筆嗎？,彼は勇敢だった。
开始下雪了。,彼は運が良かった。
開始下雪了。,彼は来るだろう。
那不可能是真的。,彼は歩くつもりだ。
它是一個晴朗的日子。,彼は今いません。
这是一笔不错的交易。,おい、待てよ！
这是个好主意。,ちょっと、待ってよ！
那是一朵向日葵。,学校はどう？
真的很冰冷。,どう、学校は？
難講喔。,学校はどうですか？
只是感冒而已。,どうですか、学校は？
这没什么大不了的。,私は中国人です。
這不是手錶。,私は看護師です。
它在沙發上。,私は女だ。
還早呢。,私は女性です。
吃晚飯的時間到了。,私は好奇心旺盛なのです。
它很正常。,仕事中です。
这很简单。,謝った。
日本在亚洲。,私はキャビアを食べた。
别让狗进来。,私はトムに電話した。
来商量吧。,彼に電話した。
讓我們放風箏。,私は泳げません。
我們進屋吧。,私は話すことができない。
讓我們搭公車吧。,見たよ。
我们试试。,ちっとも構いませんよ。
仔细听着。,気にしていないよ。
聽我說，好嗎？,知らない。
把这封信寄了。,知りません。
做出您的選擇。,俺は知らないよ。
火星是一顆行星。,わかりません。
我们能在这里游泳吗？,私は構いませんよ。
我的相簿在這裡。,私は牛乳を飲みました。
我的猫看上去很悲伤。,楽しかった。
我家在這裡。,生きていることを実感する。
我胃痛。,気持ちが悪い。
很高興認識你。,最悪の気分！
没有人喜欢战争。,めまいがします。
没人会讲。,なんとなく変な気分。
一分耕耘，一分收穫。,絶好調です！
沒人知道為什麼。,元気です。
没有人喜欢战争。,私は幸福です。
什麼事都沒有發生。,私は幸せだ。
请给我盐。,私は幸せに感じる。
麻煩拷貝這個。,疲れたー。
請不要問。,捕まりました。
請讓我走。,私はいぶかしく思った。
請允許我去。,私は疑いを持った。
把箱子放下。,私は疑問を抱いた。
她开始哭泣。,私は疑問を感じた。
她看不起他。,私は疑問を持った。
她不喜歡他。,私は疑問に思った。
她是女教师。,私は疑念を抱いた。
她跟我生气了。,嘘つきは嫌いです。
她在节食。,私は犬を飼っている。
她不停地工作。,息子が一人います。
她穿上袜子。,予定があるんだ。
她停下來抽煙。,行かなくちゃ。
她晉升了。,行かないと。
有人說謊。,そろそろおいとましなければなりません。
對不起我來晚了。,私には双子の子供がいる。
夏天已經結束。,音楽が聞こえる。
游泳很容易。,彼女を抱きしめた。
跟我讲讲那件事。,私は引っ越してきたばかりです。
那是一支铅笔。,私は犬を一匹飼ってます。
那是有道理的。,私はチェスが好きです。
那不好。,僕は女の子が好きです。
那是可避免的。,私は音楽が好きです。
那是我們的房子。,寿司が好きです。
这正是问题的关键。,私は旅行が好きです。
那太稀少了。,旅行が好きです。
盒子裡面沒有東西。,さみしかったよ。
汽车准备好了。,勉強しなくっちゃ。
谢幕了。,タクシーをつかまえないと。
這隻狗快要死了。,仕事が必要だ。
火熄灭了。,少し眠らないと。
那人沒穿衣服。,ぼくはお金がいる。
天空很晴朗。,睡眠をとったほうがよさそうだ。
风暴减弱了。,行かなくちゃ。
這口井乾涸了。,私は気を失いました。
有風險。,彼に電話した。
毫无疑问。,私はピアノを弾きます。
没有糖。,読書家のほうです。
沒有水。,そう思いますよ。
他們沒死。,私ってお喋りなの。
他们喜欢苹果。,敢えてやってみた。
他们害怕了。,敢えて危ない橋を渡ることにした。
他們要殺你。,頑張ってはみたんだ。
他们是孩子。,了解しました。
她们是孩子。,分かってるよ。
这本书是新的。,分かってる。
这个男孩子很懒。,分かった！
这是839号房间。,なるほど。
這是一支鉛筆。,わかったぞ！
這個不行。,わかります。
这不安全。,分かる。
这是最好的。,分かりました。
这是你的狗。,了解です。
這是您的鑰匙。,仕事が欲しい。
这不是钱。,たくさん欲しい。
這個是你的。,事実が知りたい。
今天三號。,お金が欲しい。
湯姆買了輛車。,これが欲しい。
Tom可以跑得很快。,だから言ったでしょ。
湯姆不能開車。,おなかが空いた。
汤姆又做了一次。,意気地がなかったんだ。
Tom喝果汁。,負けない！
汤姆瞥了一眼就移开目光了。,誰かしら。
Tom沒有錢。,なぜなんだろう。
湯姆擊出三壘安打。,トムに訊いてみようっと。
湯姆弄傷了自己。,トムに聞いてみます。
湯姆是個胖子,トムにお願いしようかな。
湯姆是個學生。,トムに頼むことにします。
湯姆是藝術家。,私からトムにお願いしておきます。
汤姆是个骗子。,また戻ってきます。
湯姆有危險。,また来ます。
湯姆是我的朋友。,大丈夫です。
汤姆人很好。,ここにいるよ。
汤姆不是傻瓜。,遅れます。
湯姆不是英雄。,遅刻します。
汤姆喜欢热的。,遅くなります。
湯姆丟了工作。,僕がやります。
湯姆看了文件。,僕がやります。
汤姆努力学习。,訴えてやる！
汤姆走得很慢。,これ、買います。
湯姆會做。,私は医者です。
湯姆會接受。,私は医師です。
再試一次。,私は今忙しい。
把煤气关了！,今は忙しい。
向左转。,今、忙しいの。
在我前面走。,今、手がはなせません。
我們接受支票。,ちょうど今は忙しい。
我们可全指望你了。,私は十八歳です。
我们可全靠你了。,おなかがすいて死にそうだ。
我们打算赢。,ものすごくお腹がすいている。
我們有兩隻耳朵。,超腹減った。
我們幫助窮人。,お腹すいて死にそう。
我們才剛搬進來。,もう大丈夫です。
我們住在一起。,私は今暇です。
我们比赛输了。,二日酔いだ。
我們可能需要一些。,僕はパースにいます。
我們需要湯姆回來。,私は無実だ。
我们必须走了。,俺は無実だ！
我們從不放棄。,妊娠しています。
我们谈谈比较好。,本当にごめんなさい。
后会有期。,お気の毒に。
我們會保持安靜。,おなか空いた！
我们过一会再谈。,おなかがすいて死にそうだ。
我們都餓了。,ものすごくお腹がすいている。
我们是同学。,超腹減った。
我们在高兴地玩。,お腹すいて死にそう。
我們很匆忙。,おなかがすいて死にそうだ。
我們很急。,ものすごくお腹がすいている。
我們不傻。,超腹減った。
多好的主意啊！,めっちゃお腹すいた。
她说了什么？,お腹すいて死にそう。
她說了什麼?,僕はすごく太ってる。
你買了什麼？,疲れたなあ。
您有什么？,もうくたくただよ。
你知道什么？,くたくたに疲れた。
你做什麼？,決めました。
你想要什么？,私はそれを見たのです。
它是關於什麼?,見たことがあります。
我该做什么？,本当？
什麼吵醒你了?,本当なの。
她在做什麼？,それ本当？
你叫什么名字？,恋かな？
您叫什么名字？,ひょっとして、これって恋かしら?
叫什麼名字?,これ、私のですか？
我的書在哪？,それは本です。
我的位子在哪儿？,そう悪くはない。
老闆在哪裡？,夜だった。
你的狗在哪里？,うまくいった。
誰決定了那件事？,そんなの無駄だよ。
誰找到了我的包？,すごいですね。
哈姆雷特是誰寫的？,すごいじゃない！
輪到誰了？,素晴らしいですね。
你為什麼在這？,寝る時間よ。
你為什麼辭職？,寝る時間ですよ。
你會參加嗎？,これはゴミです。
冬季快來了。,雹が降っています。
你脸红了。,笑い事ではない。
你无法说“不”。,そう悪くはない。
你得行動了。,何でもない。
你有必要了解。,見るからに明らかだよ。
你不應該去。,完璧だ。
你缺乏耐心。,完璧！
你擋住了我的路。,雨が降っている。
你不是歌手。,雪がふっています。
我反应过度了吗？,雪が降っています。
他們是學生嗎？,かっこいいな。
你是學生嗎？,かわいいなー。
你們都準備好了嗎?,ずいぶんと暗いな。
你现在高兴吗？,簡単、簡単。
你闻吗?,難しいわ。
对他人要友善。,ずいぶんと珍しいですね。
小心狗！,妙だな。
注意小偷。,これは自殺ですよ。
鸟儿筑巢。,法律ですから。
叫救护车。,大きすぎるわ。
我可以吃一口嗎？,遠すぎるわ。
我能试一下吗？,暑すぎ。
我们能信任他们吗？,暑くてかなわんわ。
你能冷冻它吗？,暑すぎる。
你能跳绳吗？,古すぎるわ。
给我香槟，谢谢。,動いてる、動いてる。
從中選擇一人。,トムに聞いてごらん。
聖誕節快到了。,まあ落ち着け。
收拾房间。,まあ冷静になれよ。
快來這裡。,とにかくやれよ。
来吧，快一点。,とにかく失せろ。
来吧，我们一起去。,とにかく家に帰りなさい。
来吧，摸一下。,ちょっと手伝って。
来吧，相信我。,うんと言ってよ。
您会告诉我吗？,いいから黙って。
發牌給我們。,とにかくやめろよ。
你借它了吗？,まあ受け取って。
你有買果汁嗎？,踊り続けて。
我需要做手术吗？,そのまま掘り続けて。
你相信我吗？,読み続けて。
你喝啤酒吗？,走り続けて。
你觉得幸运吗？,歌い続けて。
你覺得累嗎？,笑顔を絶やさないで。
你有车吗？,話し続けて。
您有车吗？,トム、遅れないでついてきて。
你有地圖嗎？,歩き続けて。
你喜歡果汁嗎？,働き続けなさい。
你喜欢音乐吗？,書き続けて。
你爱音乐吗？,やめなさい。
你爱音乐吗？,いいかげんにして。
你明白了嗎?,トムに知らせろ。
別讓湯姆死了。,トムを生かしておけ。
别让我失望。,トムを休ませてやりなさい。
不要拉我的腿！,私から手を離せ！
別對著我吼。,私にやらせてください。
不要碰這些。,ちょっといいですか？
地球是一個行星。,ちょっと考えさせて。
每个人都好。,食事に行きましょう。
大家笑了。,そろそろ行きましょうか。
大家都認識我。,さあ出かけよう。
大家都还行。,聞こう。
一切都很糟糕。,行くのはやめよう。
歡迎留下來。,見直しをしようじゃないか。
进你的车里。,人生は苦なり。
把这本书给她。,人生は短い。
上帝保佑美国。,私の言うことを聞きなさい。
神無處不在。,あれを見て！
钟响过了吗？,これ見て。
欲速則不達。,これを見て。
他開始喊叫。,よく見て。
他賣了一台豐田的車。,当ててみて。
他亲自来了。,メアリーが入ってきた。
他來看我了。,メアリーはクックッと笑った。
他不能幫你。,メアリーは背が高い。
他不能游泳。,お話し中すみません。
他昨天去世了。,男だって泣くことくらいあるさ。
他没听。,そーっと動かしてね。
他有些鋼筆。,腕が痛む。
他有七个儿子。,目が痛いです。
他有三个儿子。,目が痛い。
是他自己做的。,目がかゆいです。
他是一個怪人。,足が痛い。
他是美国人。,あごが痛い。
他在她的旁邊。,足が痛い。
他不过是个孩子。,足が痛い。
他在看电视。,誰も気にしやしないよ。
他喜欢睡觉。,誰にも分からない。
他给我做了套衣服。,誰も口を開かなかった。
他劃了一根火柴。,それは誰にも分からない。
他出国留学了。,さあ飲み干して。
他把球扔了。,さあ楽しんで。
他說了實話。,さあ行こう。
他转动钥匙。,さあ横になって。
他会回来的。,さあ座って。
他赢得一切了。,箱を開けて。
他写了一封信。,落ちついて。
他有点活泼。,どうぞ続けて。
他還沒到這裡。,頼むから、急いで！
他非常生气。,急いでください。
毫無希望，白費心思。,出ていけ。
这是账单。,落ちつけよ。
這是你的書。,手前にひいて開けてください。
这是找零。,そこに置いて。
你們好嗎？,もう一度言って。
它有多複雜？,またすぐ会おうね。
我怎麼知道？,さようなら。
我怎麼知道?,ではまた近いうちに！
你的测验怎么样？,ではまた近々。
你的旅行怎么样?,ではまた近々。
我同意。,じゃあまた。
我同意她。,トムを放せ。
我是記者。,恥を知れ！
我是素食主义者。,この恥知らず！
我喜歡車。,恥を知りなさい！
我在家裡。,恥を知れ！
我在右邊。,色っぽい女性。
我现在正在学习。,いい女だ。
我每天都洗澡。,彼女は８才だ。
我相信爱情。,彼女は八つだ。
我買了那輛車。,彼女は幸せです。
我可以安慰她。,彼女はついている。
我可以獨自做。,彼女は運がいい。
我会开车。,彼女は無口です。
我幾乎不能走路。,物静かな人だな。
我會彈蕭邦。,彼女は間違っている。
我會踢足球。,彼女のいうことは間違っている。
我會打網球。,あの子はまだ若い。
我受不了他。,彼女は私を知っている。
我是从中国来的。,彼女はそれが好きでした。
我没觉得不好。,彼女は来るかもしれない。
我不接受。,彼女はそれが必要です。
我不怪你。,彼女は彼を訴えた。
我不吃面包。,彼女は外出した。
我感觉不舒服。,それを見せて。
我不喜欢吃鸡蛋。,誰かがやってきた。
我不喜欢鸡蛋。,小さい声で話してください。
我不喜欢小孩。,君は家にいなさい。
我不喜欢。,読むのを止めなさい。
我不喜欢红酒。,たばこを吸うのをやめなさい。
我不後悔。,車を止めて。
我给了你一本书。,無理しないでね。
我被蜜蜂蛰了一下。,落ち着けよ。
我把我的頭髮剪了。,落ち着いて。
我7点起床了。,落ちつけよ。
我做噩梦了。,落ちついて。
我弄丟了我的筆。,無理しないでね。
我恨蚊子。,もっと気楽に生きなよ。
我有一台电脑。,落ち着いて！
我有一个女儿。,本当にありがとう。
我头痛。,本当にありがとう!
我有個提案。,ほんとありがとう。
我有一個意見。,あれが私のです。
我有许多唱片。,そんな馬鹿な。
我没有朋友。,それはすごい。
我该回家了。,それは私のCDです。
我没改变。,その通り！
我没有遇见她。,その通り！
我希望能见到你。,そういうことです。
我喜歡爵士樂。,そうです。
我喜欢短发。,変なのー。
我很喜歡雪。,違う。
我喜欢你的房子。,彼らは応援した。
我喜欢你的鞋子。,彼らは逃げた。
我的行李丢了。,彼らは笑った。
我需要很多書。,彼らは断った。
我需要更多的錢。,彼らはリラックスした。
我该回家了。,その人たちが私を撃ったんです。
我扯掉了自己的裤子。,彼らはここにいる。
我坐在他旁边。,彼らなら、ここにいるよ。
我看見了他跑步。,これ、可愛いな。
我看了日出。,これは食べ物です。
我該高興。,無料です。
我在学校读书。,これ無料です。
我和汤姆说了话。,これは本当です。
我認我會留下。,トムは承認した。
我想我是對的。,トムはキャンセルした。
我走58號高速公路。,トムは終わった。
我试图逃跑。,トムは忙しくなった。
我通常在外面吃饭。,トムは私のことが大嫌いなんです。
我想让汤姆赢。,トムは主張した。
我要多很多。,トムはクレイジーだ。
我要回家。,トムは頭のネジが飛んでいる。
我很想家。,トムはきちがいだ。
我很饿。,トムは死にかけている。
我继续阅读。,トムは幸せだ。
我會盡力而為。,トムは重い。
我希望我可以去。,トムは嘘をついている。
我在2:30起床。,トムは頭がいい。
我中奖了。,トムは頭が良い。
我為一家銀行工作。,トムはストイックだ。
我工作數小時。,トムはいません。
我擔心他。,トムがいません。
我自己写了它。,トムは聞いた。
我写了这本书。,トムは私を必要としています。
我想要跳舞。,トムは約束した。
我要戴頭盔。,トムは家に走りました。
我會晚一點回來。,トムは退職した。
我會自己走。,トムは座った。
我來付賬。,トムは彼らを見かけた。
我會告訴我的妻子。,トムは肩をすくめた。
我是个新生。,トムは家にいた。
我能说。,トムは怪我を負わされた。
我不擅長運動。,トムは遅い。
我很有耐心。,トム、起きなさい！
我要输了。,もう１度やってみなさい。
我不是學生。,あり得ねぇー。
我不太聰明。,トム、起きなさい！
我站在湯姆一邊。,私たちは幸福です。
我全身酸痛。,僕らは死ぬかもしれない。
我還不明白。,僕らはこれを作った。
我在用Twitter。,俺ら、寝坊したな。
汤姆是好人。,わたしたち、寝過ごしちゃったみたい。
那是純金嗎？,成功だ！
浴室干净吗？,降参します。
聚會結束了嗎？,何ですか。
這是你的書嗎？,それは何ですか。
没关系。,あれは何ですか。
這不是手錶。,それ何？
这很简单。,何ですか。
今天有风。,これ何？
它是我們的秘密。,我々はどこにいますか？
这是一个好的开端。,誰がそれを造ったのですか？
都是我的错。,誰がトムに話したの？
已经是早上七点了。,なぜ今やめる？
这是机密。,年月が経った。
这里够热。,遅刻したね。
它是人的天性。,あんた金持ちだね。
它是我兄弟的。,大丈夫だよ。
不是我的错。,君たち、ラッキーだなあ！
不是那么远。,嘘つけ。
这是免费的。,嘘おっしゃい。
这是我们的荣幸。,嘘つけ！
它真重。,あなたは正しい。
這是不證自明的。,おっしゃる通りです。
到談話的時間了。,おまえ、変わってるな。
它很特別。,あんた変だよ。
這裡是溫暖的。,若いなあ。
靠右侧通行。,蒲団を干して下さい。
讓我們開始吧。,質問はありますか？
让我们开始吧。,他に何かありますか。
干活吧。,怒ってるの?
去踢足球吧。,起きてる？
讓我們握手吧。,気は確かか。
讓我們看看吧。,気は確かかい?
我们休息一下吧。,あなたは幸せですか？
生活是美丽的。,用意はいいかい。
人生良苦。,準備できてる？
好久不見。,準備はできましたか?
真是好久不见啊,疲れた？
看著我的眼睛。,もう一回トムに訊いてみて。
我可以把它放在这儿吗？,卵をよくかき混ぜます。
我爸爸很忙。,猛犬注意！
我的笔记本电脑发生故障了。,男の子達は速く走る。
我肩膀痛。,後で電話して!
我的胃是脹滿的。,あとで電話ちょうだい。
我吃得很飽。,警察を呼んで！
什么问题都没有！,理由聞いてもいい？
一点问题都没有！,入ってもいいですか？
没有任何问题!,私も行ってもいい？
接一下电话。,ぎゅーしていい？
请联系我们。,勘定お願いします。
请原谅我。,勘定書を頼むよ。
请重新考虑一下。,勘定書をお願いします。
請包起來。,勘定書を持ってきてくれ。
假装你是我。,お勘定して下さい。
熄灯。,お会計お願いします。
把手举起来！,お勘定お願いします。
用英语说。,お入りください。
替你们脸红啊。,トムから返事来た？
她开始唱歌了。,さっさとやりなさい。
她大声诅咒。,分かりますか。
她没有走远。,トムは知っているの？
她有蓝色的眼睛。,遅れるなよ。
她喜歡柳橙。,早く帰ってきなさいよ。
她喜欢橙子。,早く帰ってきなさい。
她看起来不幸福。,すぐ戻ってこいよ。
她看起來不快樂。,意地悪しないで。
她卖花。,無茶なことするなよ。
她上樓了。,失礼のないようにしなさい。
她痛哭。,これはしてはいけません。
她在浴室。,これをやっちゃだめだよ。
她是我女儿。,太っては駄目ですよ。
她不是小孩。,腹を立てるな。
我该帮你吗？,かっかしないで。
不要烦我。,かっかするなよ。
告訴我真相。,諦めないで。
那棟房子很大。,あきらめるな。
那栋房子很大。,諦めちゃ駄目だ。
那是可燃的。,諦めてはいけません。
那是你的書。,諦めないで。
那真是极好的。,降参するな。
那不好笑。,あきらめるな。
那是一隻野雞。,諦めちゃ駄目だ。
这不可能。,諦めてはいけません。
這是我的問題。,切らないで！
那是完美的。,切らないで！
这很方便。,私を憎むな！
浴缸已經準備好了。,急かさないで。
这只猫在吃东西。,偉そうな口をたたくな。
鐘停了。,生意気を言うんじゃない。